Id,Member,State,District,Party
140231,"Owens, Burgess",Utah,4,R
31432,"Palazzo, Steven M.",Miss.,4,R
320,"Pallone, Frank Jr.",N.J.,6,D
53533,"Palmer, Gary",Ala.,6,R
97838,"Panetta, Jimmy",Calif.,20,D
120514,"Pappas, Chris",N.H.,1,D
322,"Pascrell, Bill Jr.",N.J.,9,D
45375,"Payne, Donald M. Jr.",N.J.,10,D
35,"Pelosi, Nancy",Calif.,12,D
117613,"Pence, Greg",Ind.,6,R
25518,"Perlmutter, Ed",Colo.,7,D
44287,"Perry, Scott",Pa.,10,R
45315,"Peters, Scott",Calif.,52,D
137594,"Pfluger, August",Texas,11,R
119084,"Phillips, Dean",Minn.,3,D
7135,"Pingree, Chellie",Maine,1,D
46182,"Pocan, Mark",Wis.,2,D
118206,"Porter, Katie",Calif.,45,D
29243,"Posey, Bill",Fla.,8,R
58319,"Pressley, Ayanna S.",Mass.,7,D
292,"Price, David E.",N.C.,4,D
30311,"Quigley, Mike",Ill.,5,D
96733,"Raskin, Jamie",Md.,8,D
117862,"Reschenthaler, Guy",Pa.,14,R
54008,"Rice, Kathleen",N.Y.,4,D
45494,"Rice, Tom",S.C.,7,R
21425,"Rodgers, Cathy McMorris",Wash.,5,R
200,"Rogers, Harold",Ky.,5,R
15323,"Rogers, Mike D.",Ala.,3,R
118706,"Rose, John W.",Tenn.,6,R
53582,"Rosendale, Matt",Mont.,AL,R
96212,"Ross, Deborah K.",N.C.,2,D
44601,"Rouzer, David",N.C.,7,R
40159,"Roy, Chip",Texas,21,R
60,"Roybal-Allard, Lucille",Calif.,40,D
45281,"Ruiz, Raul",Calif.,36,D
16132,"Ruppersberger, C.A. Dutch",Md.,2,D
156,"Rush, Bobby L.",Ill.,1,D
99885,"Rutherford, John",Fla.,4,R
14895,"Ryan, Tim",Ohio,13,D
119559,"Salazar, Maria Elvira",Fla.,27,R
15152,"Sanchez, Linda T.",Calif.,38,D
25932,"Sarbanes, John",Md.,3,D
22808,"Scalise, Steve",La.,1,R
117821,"Scanlon, Mary Gay",Pa.,5,D
164,"Schakowsky, Jan",Ill.,9,D
7266,"Schiff, Adam B.",Calif.,28,D
43800,"Schneider, Brad",Ill.,10,D
28551,"Schrader, Kurt",Ore.,5,D
118717,"Schrier, Kim",Wash.,8,D
3723,"Schweikert, David",Ariz.,6,R
497,"Scott, Robert C.",Va.,3,D
15851,"Scott, David",Ga.,13,D
31805,"Scott, Austin",Ga.,8,R
462,"Sessions, Pete",Texas,17,R
31396,"Sewell, Terri A.",Ala.,7,D
51,"Sherman, Brad",Calif.,30,D
118645,"Sherrill, Mikie",N.J.,11,D
153,"Simpson, Mike",Idaho,2,R
25138,"Sires, Albio",N.J.,8,D
104452,"Slotkin, Elissa",Mich.,8,D
48742,"Smith, Jason",Mo.,8,R
520,"Smith, Adam",Wash.,9,D
7755,"Smith, Adrian",Neb.,3,R
318,"Smith, Christopher H.",N.J.,4,R
97486,"Smucker, Lloyd K.",Pa.,11,R
97695,"Soto, Darren",Fla.,9,D
118575,"Spanberger, Abigail",Va.,7,D
139161,"Spartz, Victoria",Ind.,5,R
28222,"Speier, Jackie",Calif.,14,D
50383,"Stansbury, Melanie",N.M.,1,D
57620,"Stanton, Greg",Ariz.,9,D
74568,"Stauber, Pete",Minn.,8,R
89658,"Steel, Michelle",Calif.,48,R
54019,"Stefanik, Elise",N.Y.,21,R
120192,"Steil, Bryan",Wis.,1,R
119530,"Steube, Greg",Fla.,17,R
119021,"Stevens, Haley",Mich.,11,D
45440,"Stewart, Chris",Utah,2,R
59109,"Strickland, Marilyn",Wash.,10,D
98522,"Suozzi, Tom",N.Y.,3,D
45227,"Swalwell, Eric",Calif.,15,D
3935,"Takano, Mark",Calif.,41,D
24726,"Taylor, Van",Texas,3,R
54020,"Tenney, Claudia",N.Y.,22,R
28292,"Thompson, Glenn ""GT""",Pa.,15,R
28,"Thompson, Mike",Calif.,5,D
280,"Thompson, Bennie",Miss.,2,D
137142,"Tiffany, Tom",Wis.,7,R
118595,"Timmons, William R. IV",S.C.,4,R
25546,"Titus, Dina",Nev.,1,D
119027,"Tlaib, Rashida",Mich.,13,D
29506,"Tonko, Paul",N.Y.,20,D
58658,"Torres, Ritchie",N.Y.,15,D
53711,"Torres, Norma J.",Calif.,35,D
120340,"Trahan, Lori",Mass.,3,D
97048,"Trone, David",Md.,6,D
14953,"Turner, Michael R.",Ohio,10,R
117342,"Underwood, Lauren",Ill.,14,D
245,"Upton, Fred",Mich.,6,R
45242,"Valadao, David",Calif.,21,R
118628,"Van Drew, Jeff",N.J.,2,R
59013,"Van Duyne, Beth",Texas,24,R
1606,"Vargas, Juan C.",Calif.,51,D
44895,"Veasey, Marc",Texas,33,D
350,"Velazquez, Nydia M.",N.Y.,7,D
45997,"Wagner, Ann",Mo.,2,R
20394,"Walberg, Tim",Mich.,7,R
31142,"Walorski, Jackie",Ind.,2,R
119499,"Waltz, Michael",Fla.,6,R
19822,"Wasserman Schultz, Debbie",Fla.,23,D
62,"Waters, Maxine",Calif.,43,D
53611,"Watson Coleman, Bonnie",N.J.,12,D
44806,"Weber, Randy",Texas,14,R
32922,"Webster, Daniel",Fla.,11,R
25943,"Welch, Peter",Vt.,AL,D
43608,"Wenstrup, Brad",Ohio,2,R
53228,"Westerman, Bruce",Ark.,4,R
118579,"Wexton, Jennifer",Va.,10,D
117833,"Wild, Susan",Pa.,7,D
44864,"Williams, Roger",Texas,25,R
143284,"Williams, Nikema",Ga.,5,D
32369,"Wilson, Frederica S.",Fla.,24,D
14271,"Wilson, Joe",S.C.,2,R
27705,"Wittman, Rob",Va.,1,R
31232,"Womack, Steve",Ark.,3,R
25798,"Yarmuth, John",Ky.,3,D
29374,"Zeldin, Lee",N.Y.,1,R
